source_name,url,record_type,primary_topic,secondary_topic,targeting_type,follower_tier,content_style,mainstream_flag,pod,youtube,facebook,x,instagram,tiktok,substack,online,rumble,telegram,cable,radio,TSP,CEC,TC,WE,PP,HF,PFF,HHN,MFL,VS,UCP,FJP,HCP,HAD,HCI,GHI,reach_score,uniqueness_score,recognition_score,scale_fit_score,strategic_priority,field_eligible,field_eligible_relaxed,track
Fox News,foxnews.com,source,Political news and commentary,,Broad,mega,activist,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,3,3,0,0,0,GOP
MSNBC,msnbc.com,source,Political news and commentary,,Broad,mega,activist,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,3,2,0,0,0,DEM
CNN,cnn.com,source,Political news and commentary,,Broad,mega,activist,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,3,2,0,0,0,DEM
NPR,npr.org,source,Political news and commentary,,Broad,mega,activist,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,3,2,0,0,0,DEM
New York Times,nytimes.com,source,Political news and commentary,,Addressable,mega,activist,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,3,1,3,2,9,0,0,DEM
Washington Post,washingtonpost.com,source,Political news and commentary,,Addressable,mega,activist,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,3,1,3,2,9,0,0,DEM
Wall Street Journal,wsj.com,source,Political news and commentary,,Addressable,mega,activist,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,3,11,0,0,GOP
Joe Rogan Experience,spotify.com/jre,both,Political news and commentary,,Sponsorship,mega,entertainment,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,2,1,3,3,9,0,0,GOP
USA Today,usatoday.com,source,Political news and commentary,,Addressable,mega,activist,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,2,3,3,11,0,0,BOTH
National Review,nationalreview.com,source,Political news and commentary,,Addressable,macro,activist,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,3,10,1,1,GOP
The Dispatch,thedispatch.com,source,Political news and commentary,Faith and values,Sponsorship,macro,activist,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,2,3,9,1,1,BOTH
The Bulwark,thebulwark.com,source,Political news and commentary,,Sponsorship,micro,activist,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,3,9,0,1,GOP
The Hill,thehill.com,source,Political news and commentary,Health policy,Addressable,macro,activist,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,2,3,10,1,1,GOP
RealClearPolitics,realclearpolitics.com,source,Political news and commentary,,Addressable,macro,activist,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,3,10,1,1,GOP
Washington Examiner,washingtonexaminer.com,source,Political news and commentary,,Addressable,macro,educational,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,3,10,1,1,GOP
Townhall,townhall.com,source,Political news and commentary,Faith and values,Addressable,macro,activist,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,3,11,1,1,GOP
The Federalist,thefederalist.com,source,Political news and commentary,Faith and values,Addressable,macro,activist,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3,2,2,3,10,1,1,GOP
